1,0.0000,0.0000,0.0000,
2,143.0000,0.0000,0.0000,
5,11.3153,0.0117,0.0036,
6,23.5731,-0.0094,-0.0072,
7,35.7899,0.0169,0.0175,
8,47.7562,-0.0270,0.0198,
9,57.7562,-0.0270,0.0198,
10,71.9745,0.0226,0.0087,
11,83.4844,-0.0061,0.0235,
12,94.4590,0.0086,0.0100,
13,107.1322,-0.0326,-0.0050,
3,1.0006,22.4474,-0.0186,
4,116.8080,21.7615,-0.0361,
14,12.9014,22.5220,-0.0079,
15,24.1971,22.4714,0.0075,
16,35.8534,22.4500,-0.0022,
17,47.5762,22.4803,0.0390,
18,59.7282,22.4625,0.0686,
19,71.3933,22.3788,0.0504,
20,83.3486,22.3568,0.0441,
21,94.9490,22.3627,0.0701,
22,107.2713,22.2894,0.0663,
